graph, edges, result, time
G60_80, 1416, UNSAT, 0.16556191s
G60_90, 1593, UNSAT, 0.21906710s
G60_100, 1770, UNSAT, 0.24155498s
G61_10, 183, UNSAT, 0.01325917s
G61_20, 366, UNSAT, 0.03571606s
G61_30, 549, UNSAT, 0.04837394s
G61_40, 732, UNSAT, 0.06486797s
G61_50, 915, UNSAT, 0.08419991s
G61_60, 1098, UNSAT, 0.10656404s
G61_70, 1281, UNSAT, 0.14630985s
G61_80, 1464, UNSAT, 0.19891191s
G61_90, 1647, UNSAT, 0.22982883s
G61_100, 1830, UNSAT, 0.27247691s
G62_10, 189, UNSAT, 0.01519990s
G62_20, 378, UNSAT, 0.03442097s
G62_30, 567, UNSAT, 0.05486107s
G62_40, 756, UNSAT, 0.07528019s
G62_50, 945, UNSAT, 0.09228611s
G62_60, 1134, UNSAT, 0.12541890s
G62_70, 1323, UNSAT, 0.15495086s
G62_80, 1512, UNSAT, 0.22138500s
G62_90, 1701, UNSAT, 0.25726986s
G62_100, 1891, UNSAT, 0.28040886s
G63_10, 195, UNSAT, 0.01635003s
G63_20, 390, UNSAT, 0.02626801s
G63_30, 585, UNSAT, 0.05479789s
G63_40, 781, UNSAT, 0.08780289s
G63_50, 976, UNSAT, 0.09955716s
G63_60, 1171, UNSAT, 0.13280296s
G63_70, 1367, UNSAT, 0.16901922s
G63_80, 1562, UNSAT, 0.22628188s
G63_90, 1757, UNSAT, 0.24951291s
G63_100, 1953, UNSAT, 0.29502010s
G64_10, 201, UNSAT, 0.02815008s
G64_20, 403, UNSAT, 0.04091001s
G64_30, 604, UNSAT, 0.05586720s
G64_40, 806, UNSAT, 0.08996511s
G64_50, 1008, UNSAT, 0.10395789s
G64_60, 1209, UNSAT, 0.14679813s
G64_70, 1411, UNSAT, 0.18122196s
G64_80, 1612, UNSAT, 0.22832513s
G64_90, 1814, UNSAT, 0.28424001s
G64_100, 2016, UNSAT, 0.31409597s
G65_10, 208, UNSAT, 0.01908898s
G65_20, 416, UNSAT, 0.03539181s
