name,time_seconds,result
gl_grafo2325.13.gml.cnf,0,SAT
gl_grafo2326.16.gml.cnf,0,SAT
gl_grafo2327.15.gml.cnf,0,SAT
gl_grafo233.11.gml.cnf,0,SAT
gl_grafo2331.15.gml.cnf,0,SAT
gl_grafo2332.19.gml.cnf,1.0,SAT
gl_grafo2333.13.gml.cnf,0,SAT
gl_grafo2334.16.gml.cnf,1.0,SAT
gl_grafo2335.12.gml.cnf,0,SAT
gl_grafo2336.17.gml.cnf,0,SAT
gl_grafo2338.14.gml.cnf,0,SAT
gl_grafo2339.14.gml.cnf,0,SAT
gl_grafo234.12.gml.cnf,0,SAT
gl_grafo2340.13.gml.cnf,0,SAT
gl_grafo2342.18.gml.cnf,0,SAT
gl_grafo2343.12.gml.cnf,0,SAT
gl_grafo2344.12.gml.cnf,0,SAT
gl_grafo2345.17.gml.cnf,1.0,SAT
gl_grafo2347.20.gml.cnf,0,SAT
gl_grafo2349.16.gml.cnf,1.0,SAT
gl_grafo235.13.gml.cnf,0,SAT
gl_grafo2350.11.gml.cnf,0,SAT
gl_grafo2351.20.gml.cnf,1.0,SAT
gl_grafo2352.15.gml.cnf,1.0,SAT
gl_grafo2354.13.gml.cnf,0,SAT
gl_grafo2355.16.gml.cnf,0,SAT
gl_grafo2359.12.gml.cnf,0,SAT
gl_grafo236.15.gml.cnf,0,SAT
gl_grafo2360.17.gml.cnf,1.0,SAT
gl_grafo2366.16.gml.cnf,0,SAT
gl_grafo2367.12.gml.cnf,0,SAT
gl_grafo2368.14.gml.cnf,0,SAT
gl_grafo237.16.gml.cnf,1.0,SAT
gl_grafo2371.19.gml.cnf,1.0,SAT
gl_grafo2372.16.gml.cnf,0,SAT
gl_grafo2373.16.gml.cnf,0,SAT
gl_grafo2375.19.gml.cnf,3.0,SAT
gl_grafo2376.16.gml.cnf,0,SAT
gl_grafo2377.15.gml.cnf,0,SAT
gl_grafo238.10.gml.cnf,0,SAT
gl_grafo2380.12.gml.cnf,1.0,SAT
gl_grafo2382.20.gml.cnf,2.0,SAT
gl_grafo2383.18.gml.cnf,0,SAT
gl_grafo2384.11.gml.cnf,0,SAT
gl_grafo2385.13.gml.cnf,0,SAT
gl_grafo239.15.gml.cnf,1.0,SAT
gl_grafo2390.19.gml.cnf,0,SAT
gl_grafo2392.14.gml.cnf,0,SAT
gl_grafo2393.14.gml.cnf,0,SAT
gl_grafo2396.20.gml.cnf,1.0,SAT
